Artist,Country,State/Region/Province,City,Related Labels,Related Bands,Released split with,Year (of the first release),Website,Streaming Site,Discogs,Rate Your Music,Style,Melodiousness,My rating,Tags,Added at,Page ID
Ember,US,New Jersey,,,"Situation at 1200 (https://www.notion.so/Situation-at-1200-2d37b8ee2eb748c68c72e7f4f2f49669?pvs=21), My Favorite Citizen (https://www.notion.so/My-Favorite-Citizen-73e556acb034444eb292b77afc0a34b3?pvs=21)",,1997,,,https://www.discogs.com/artist/4398618-Ember-11,,"Alternative Rock, Midwest Emo",7,6,,"July 31, 2022 1:57 PM",1e4138c6c5834cf58b63cc860268dd42
Situation at 1200,US,New Jersey,,,"Ember (https://www.notion.so/Ember-1e4138c6c5834cf58b63cc860268dd42?pvs=21), My Favorite Citizen (https://www.notion.so/My-Favorite-Citizen-73e556acb034444eb292b77afc0a34b3?pvs=21)",,1999,,https://situationat1200.bandcamp.com/,https://www.discogs.com/artist/3442473-Situation-At-1200,https://rateyourmusic.com/artist/situation-at-1200,Midwest Emo,7,7,,"July 31, 2022 1:48 PM",2d37b8ee2eb748c68c72e7f4f2f49669
Copper,US,New York,Buffalo,,"Texas is the Reason (https://www.notion.so/Texas-is-the-Reason-dc2f64a587d9441897642902ca3143d6?pvs=21), Kite Eating Tree (https://www.notion.so/Kite-Eating-Tree-9abdb0413e8a45cea48a357898226903?pvs=21), Idle Hands (https://www.notion.so/Idle-Hands-ade95af1dda64e74ab2e15a4e5d6bfed?pvs=21)",,1994,,,https://www.discogs.com/artist/284147-Copper-2,https://rateyourmusic.com/artist/copper_f1,"Alternative Rock, Melodic Hardcore, Midwest Emo",7,7,,"July 31, 2022 1:36 PM",d347287ebc1446eb90760e526a941de6
day's eye,Japan,Tokyo,,,,,2016,https://dayseyeofficial.tumblr.com/,https://dayseye.bandcamp.com,https://www.discogs.com/artist/6347930-Days-Eye,,"Emo-Violence, Midwest Emo, Post-Hardcore",6,7,"Female-fronted, With Screamed voice","July 31, 2022 11:32 AM",c2d22b4f7a3e4fcfb0a1769ab6852866
The Maccabees,US,Florida,Tampa,New Granada Records (https://www.notion.so/New-Granada-Records-e248d623d9364b56a78180d2f3af5647?pvs=21),"Pohgoh (https://www.notion.so/Pohgoh-295d85bfe908448aac67464e3a4b02c4?pvs=21), Hankshaw (fka Lazy Susan) (https://www.notion.so/Hankshaw-fka-Lazy-Susan-21c6bccc5f0d4ae9bcc2410bb2b3fc3a?pvs=21), Rec Center (https://www.notion.so/Rec-Center-8516a75f90834c9ab52ad903f04b81ed?pvs=21)",,1999,,,https://www.discogs.com/artist/4954859-The-Maccabees-2,,"Indie Rock, Midwest Emo",8,8,VA: The Emo Philips Diaries: From Tampa To Eternity,"July 30, 2022 11:40 PM",56b6e6e6eb5e4c758085f47e9a8d7909
Hankshaw (fka Lazy Susan),US,Florida,Tampa,"Doghouse Records (https://www.notion.so/Doghouse-Records-f64f226f8d574dd69e29ea0a450942bd?pvs=21), New Granada Records (https://www.notion.so/New-Granada-Records-e248d623d9364b56a78180d2f3af5647?pvs=21), WATERSLIDE RECORDS (https://www.notion.so/WATERSLIDE-RECORDS-89528e1b36064f2498e16a4fbbf8b3f2?pvs=21), Network Sound (https://www.notion.so/Network-Sound-edb7ac60bb9c4eec9b8293ea7c202a4e?pvs=21)","Pohgoh (https://www.notion.so/Pohgoh-295d85bfe908448aac67464e3a4b02c4?pvs=21), Rec Center (https://www.notion.so/Rec-Center-8516a75f90834c9ab52ad903f04b81ed?pvs=21), The Maccabees (https://www.notion.so/The-Maccabees-56b6e6e6eb5e4c758085f47e9a8d7909?pvs=21)",,1997,,https://hankshaw.bandcamp.com/,https://www.discogs.com/artist/965464-Hankshaw,https://rateyourmusic.com/artist/hankshaw,"Midwest Emo, Pop Punk",8,7,VA: The Emo Philips Diaries: From Tampa To Eternity,"July 30, 2022 11:30 PM",21c6bccc5f0d4ae9bcc2410bb2b3fc3a
Zillionaire,US,Florida,Tampa,New Granada Records (https://www.notion.so/New-Granada-Records-e248d623d9364b56a78180d2f3af5647?pvs=21),"Rec Center (https://www.notion.so/Rec-Center-8516a75f90834c9ab52ad903f04b81ed?pvs=21), Pohgoh (https://www.notion.so/Pohgoh-295d85bfe908448aac67464e3a4b02c4?pvs=21)",,2007,,,https://www.discogs.com/artist/2400157-Zillionaire,https://rateyourmusic.com/artist/zillionaire_f1,"Indie Rock, Jangle Pop, Midwest Emo, Slowcore",7,7,,"July 30, 2022 11:28 PM",3b7f936654414956bf315efe89b85c58
Carolina,US,Wisconsin,Milwaukee,,,,2002,,,https://www.discogs.com/artist/5406982-Carolina-22,,"Indie Rock, Midwest Emo",8,8,,"July 30, 2022 7:09 PM",9003482f2327489dab1eef8c60ff4b7f
Car vs. Driver,US,Georgia,Atlanta,,Chocolate Kiss (https://www.notion.so/Chocolate-Kiss-cf23da781cc8425b996a2b56381ce449?pvs=21),,1994,,,https://www.discogs.com/artist/279086-Car-vs-Driver,https://rateyourmusic.com/artist/car_vs__driver,"Emo-Core, Midwest Emo, Post-Hardcore",6,6,,"July 30, 2022 7:03 PM",3f102475ef4f46559bb53c4a0676efc7
Campfire Girls,US,California,Los Angeles,,,,1994,,,https://www.discogs.com/artist/997790-Campfire-Girls,,"Alternative Rock, Midwest Emo, Pop Punk",7,6,,"July 30, 2022 6:52 PM",813bc97263ff45eea2debea9ad2a6a07
Somerset,US,Pennsylvania,Philadelphia,Burnt Toast Vinyl (https://www.notion.so/Burnt-Toast-Vinyl-c48f8d87980b494aa81e3916cdabe340?pvs=21),,,1997,,https://burnttoastvinyl.bandcamp.com/album/discoveries-and-illuminations-2021-remaster,https://www.discogs.com/artist/4898787-Somerset-6,https://rateyourmusic.com/artist/somerset__usa_90s_,,,,,"July 30, 2022 4:43 PM",f5e6304ffd664bbca43a7d17f6246ff3
Somerset,US,Minnesota,Minneapolis,,,,2003,,https://smrst.bandcamp.com/,https://www.discogs.com/artist/2442208-Somerset-4,https://rateyourmusic.com/artist/somerset,,,,,"July 30, 2022 4:40 PM",da4afaa5cada4fdd8456bc7f8357c36b
Built in Shellbrook,Canada,Saskatchewan,Regina,,,,1998,,,https://www.discogs.com/artist/4432933-Built-In-Shellbrook,,"Alternative Rock, Midwest Emo, Post-Hardcore",7,7,,"July 28, 2022 11:33 PM",9762f6f93a074262b3ee0f93af44a72e
Brassneck,Belgium,Vlaams-Brabant,Leuven,,,,1997,,,https://www.discogs.com/artist/1579526-Brassneck,https://rateyourmusic.com/artist/brassneck-1,"Indie Rock, Midwest Emo, Post Punk, Post-Hardcore",8,7,,"July 28, 2022 11:14 PM",f320d997ddd34dda98dac300871f80d1
Brass,US,Pennsylvania,Philadelphia,,,,2006,,https://brasslungs.bandcamp.com/,,,"Alternative Rock, Hardcore Punk, Post Rock",5,5,With Delay-effect,"July 27, 2022 11:31 PM",124d25121e18480591d2b5d9ef3b842b
Bob Evans,US,New Jersey,Maplewood,,,,1989,,https://bobevans.bandcamp.com/,https://www.discogs.com/artist/1744195-Bob-Evans-6,,"Emo-Core, Hardcore Punk, Post-Hardcore",5,6,,"July 27, 2022 11:27 PM",ed3c05ad171d41b4abdee3bf3155b391
