Artist,Country,State/Region/Province,City,Related Labels,Related Bands,Released split with,Year (of the first release),Website,Streaming Site,Discogs,Rate Your Music,Style,Melodiousness,My rating,Tags,Added at,Page ID
Reno Dakota,UK/England,Cambridgeshire,Cambridge,,,"Bonjour (https://www.notion.so/Bonjour-a5b5fc154a374e1597deb0b2a9c11f3a?pvs=21), Nai Harvest (https://www.notion.so/Nai-Harvest-76a8bbc2d87d4cbbb4ae4996a1570723?pvs=21)",2011,,https://renodakota.bandcamp.com/,https://www.discogs.com/artist/3292044-Reno-Dakota,,"Indie Rock, Math, Midwest Emo, Twinkle",7,6,,"July 22, 2023 1:22 PM",dd08e56176f94695aa8e09ba80dd44de
Piles and Piles,US,Massachusetts,Acton,,,,2013,,https://pilesandpiles.bandcamp.com/,-,https://rateyourmusic.com/artist/piles_and_piles,"Indie Rock, Math, Midwest Emo, Twinkle",6,5,,"July 22, 2023 1:13 PM",7ac821ab2d9040d0bfbbd0aff6e7743f
Boy Parts,,,,,"Emo Side Project (https://www.notion.so/Emo-Side-Project-56e2ae03897949dfbc0ca0a5512f3708?pvs=21), Coate (https://www.notion.so/Coate-2042c1cd75ff4ea18901ce1f9b1c6b2f?pvs=21)",,2014,,,https://www.discogs.com/artist/3743761-Boy-Parts,,"Indie Rock, Midwest Emo",7,6,,"July 20, 2023 10:17 PM",4f4edf22effa4db29ee7872aac0264b5
Dormlife,US,Illinois,Chicago,,Midwest Blue (https://www.notion.so/Midwest-Blue-6dc94f25ee3e4d40b44d497dc8f86a13?pvs=21),,2005,,https://dormlife.bandcamp.com/,https://www.discogs.com/artist/2546830-Dormlife,,"Indie Folk, Midwest Emo",7,7,Acoustic,"June 29, 2023 10:01 PM",33f290a0363f47d995b6c32a5b2be9d3
Cleons Down,US,Michigan,Detroit,,,,1995,,https://cleonsdown.bandcamp.com/,https://www.discogs.com/artist/2392832-Cleons-Down,,"Midwest Emo, Post-Hardcore",6,7,"Twin-vocal, With Screamed voice","June 24, 2023 8:10 PM",3cbc50668cf34db28f0f68da0954a1af
Anorexic Beauty Queen,US,New York,Syracuse,,,,2004,,https://anorexicbeautyqueen.bandcamp.com/,https://www.discogs.com/artist/5935006-Anorexic-Beauty-Queen,https://rateyourmusic.com/artist/anorexic_beauty_queen,"Indie Rock, Midwest Emo, Post Rock",8,8,With Keyboards,"May 6, 2023 10:11 PM",4c50133b5d48425890d5bc0534d589e9
Issue Sixteen,Canada,Québec,Montréal,,,,2002,,https://issuesixteen.bandcamp.com/,https://www.discogs.com/artist/2722902-Issue-Sixteen,https://rateyourmusic.com/artist/issue-sixteen,"Midwest Emo, Post-Hardcore",7,8,Twin-vocal,"April 24, 2023 11:28 PM",c4872f69b27e4aae85f7aef0801b56e7
Chester,US,Florida,Tampa,New Granada Records (https://www.notion.so/New-Granada-Records-e248d623d9364b56a78180d2f3af5647?pvs=21),,,,,,https://www.discogs.com/artist/1425435-Chester-7,,"Indie Rock, Midwest Emo",7,6,VA: The Emo Philips Diaries: From Tampa To Eternity,"April 18, 2023 10:51 PM",aceb6cef96bb45ed9308de4dccfd99f8
Japanese Football,Japan,Tokyo,,,"PRIMACASATA (https://www.notion.so/PRIMACASATA-5984273f78d9405cbdc90daf722dc2ae?pvs=21), HILLMYNAH (https://www.notion.so/HILLMYNAH-02483be842274ee18b9d9fb7ee68dd28?pvs=21)",,2021,https://twitter.com/japafoot,https://www.tunecore.co.jp/artists?id=581681,,,"Indie Rock, Midwest Emo",6,4,Kinsella-like,"April 17, 2023 2:40 PM",51a98beba24b42448a139dc8a7ff9eef
Chiral,US,Illinois,Chicago,,,,2003,,https://chiral.bandcamp.com/,,,"Alternative Rock, Midwest Emo, Post Rock, Post-Hardcore",7,6,,"April 9, 2023 7:55 AM",4d9014ab0b574cb791c85e792b0919d6
SEPTEMBER DECEMBER,Japan,Chiba,,,,,2012,https://septemberdecember-jp.tumblr.com/,https://septemberdecember.bandcamp.com/,,,"Math, Midwest Emo",7,6,,"April 9, 2023 7:42 AM",94f470c11d4b44e895f69cbc204a2c86
sunday document,Japan,Osaka,,,,,2012,https://sundaydocument.wordpress.com/,https://sundaydocument.bandcamp.com/,,,"Alternative Rock, Midwest Emo, Post-Hardcore",6,6,,"April 9, 2023 7:36 AM",18002efcc478478fb51377ab76fe4413
Eighty Six,UK/England,West Yorkshire,Leeds,Bombed Out Records (https://www.notion.so/Bombed-Out-Records-134928aa859647969a1fd617939f896d?pvs=21),,,2001,,https://bombedout.bandcamp.com/album/whats-my-problem-today,https://www.discogs.com/artist/1394484-Eighty-Six,https://rateyourmusic.com/artist/eighty_six,"Melodic Hardcore, Midwest Emo, Post-Hardcore",7,6,,"April 8, 2023 10:17 PM",228b551910ec449ab6bdf0774f2c34a3
Paid in Full (aka This is Waking Up),US,New Jersey,,,,,2001,https://web.archive.org/web/20010516223744/http://paidinfull.cjb.net/,,https://www.discogs.com/artist/3243593-Paid-In-Full,,"Indie Rock, Midwest Emo, Post-Hardcore",6,5,,"April 8, 2023 10:17 PM",f35773dcfd9d4a8f839cb4f06bd64fa5
Kirie (キリエ),Japan,Kyoto,,,,,2010,,,https://www.discogs.com/artist/2675857-Kirie,,"Melodic Hardcore, Midwest Emo",7,7,,"April 8, 2023 10:16 PM",3d85f410b6634374afa766b6540cc05c
does it float,Japan,Tokyo,,,,,2012,https://doesitfloatojisan.tumblr.com/,,,,"Indie Rock, Melodic Hardcore, Midwest Emo",7,6,,"April 8, 2023 10:14 PM",3521931bacd6443db18fc150670573d8
Grand Central,UK/England,London,London,,,,1999,,,https://www.discogs.com/artist/1371112-Grand-Central-2,-,"Melodic Hardcore, Midwest Emo, Post-Hardcore",6,6,,"April 8, 2023 10:13 PM",ed9af3c1cc2d4747857b706b2626bdbd
Painted Thin,Canada,Manitoba,Winnipeg,,The Weakerthans (https://www.notion.so/The-Weakerthans-72da4376238a451bb4a42136f02b347e?pvs=21),,1995,,,https://www.discogs.com/artist/1033091-Painted-Thin,https://rateyourmusic.com/artist/painted_thin,"Alternative Rock, Melodic Hardcore, Midwest Emo",7,7,,"April 8, 2023 10:22 AM",ec5da483ffcf4b93bb448a06fd369f18
Comic Sans,Spain,Basque,Guipúzcoa - Donostia/San Sebastian,,,,2020,,https://comicsans.bandcamp.com/,,,"Midwest Emo, Screamo, Twinkle",6,6,,"April 8, 2023 2:05 AM",35a3bfe0641b40f6a9487ee94a41a030
Nuzzle (aka The Dying Californian),US,California,Santa Cruz,,,,1992,,https://nuzzleband.bandcamp.com/,https://www.discogs.com/artist/885475-Nuzzle,https://rateyourmusic.com/artist/nuzzle,"Emo-Core, Midwest Emo, Post-Hardcore",6,7,,"April 6, 2023 10:23 PM",befe924fc2e949a2b03aee23945d700c
The Also-Rans,US,Massachusetts,Boston,,,,2002,,https://also-rans.bandcamp.com/,https://www.discogs.com/artist/972516-The-Also-Rans,,"Indie Rock, Midwest Emo",8,7,Twin-vocal,"April 2, 2023 10:55 PM",ef28a08bb7954067a04e44fa3b371bd2
Video Games,US,Massachusetts,Boston,,Waterpistol (https://www.notion.so/Waterpistol-dc42fbfae9d749f183152cccbf1dee93?pvs=21),,2009,,https://videogamesband.bandcamp.com/,-,-,Midwest Emo,8,8,,"April 2, 2023 10:43 PM",863876d139d9464ca62703e4deaa29c0
Tanworth-in-Arden,US,Texas,Denton,,,,1999,http://www.tanworthinarden.com/,,https://www.discogs.com/artist/1818897-Tanworth-In-Arden,https://rateyourmusic.com/artist/tanworth_in_arden,Midwest Emo,8,8,Female-fronted,"April 2, 2023 4:39 PM",ac057d801d6644f992ec7b0f7c8a8ac3
The Reason I Failed History,UK/England,Kent,,,,,2013,,https://thereasonifailedhistory.bandcamp.com/,https://www.discogs.com/artist/4960384-The-Reason-I-Failed-History,https://rateyourmusic.com/artist/the_reason_i_failed_history,"Indie Rock, Midwest Emo, Power Pop",8,7,,"April 2, 2023 4:33 PM",5603f0ec6d9f41aaa8bf7f8557e7355a
Running from Dharma,US,Pennsylvania,Harrisburg,,,Sense Field (https://www.notion.so/Sense-Field-826a58633adf4c31aa290713f5c564ff?pvs=21),1998,,,https://www.discogs.com/artist/2635043-Running-From-Dharma,https://rateyourmusic.com/artist/running_from_dharma,"Alternative Rock, Emo Pop, Melodic Hardcore, Midwest Emo",7,7,With Keyboards,"April 2, 2023 4:22 PM",d3361283c3b3445eb737cb66f305c045
toone,Japan,Kanagawa,Yokohama,RAFT RECORDS (https://www.notion.so/RAFT-RECORDS-c497784480fa427c97fec5fe255049fc?pvs=21),,,2019,https://twitter.com/toone_0113,https://tooneyokohama.bandcamp.com/,,,"Midwest Emo, Post Rock",7,6,"> Details unknown, Female-fronted, With Keyboards","April 2, 2023 4:17 PM",db75da7f83e647c8a200907093ba8e15
Carver (Spain),Spain,Madrid,Madrid,,Ulises Lima (https://www.notion.so/Ulises-Lima-4d1ae3cd89ce41a1ab2a085d78b39690?pvs=21),,2016,,https://carverolrait.bandcamp.com/,,,"Emo-Core, Midwest Emo",4,4,,"April 1, 2023 7:22 AM",ad7dd2e0346c4cb8bce43df363ebea97
The Silent Treatment,US,Illinois,Chicago,,,,2002,,,https://www.discogs.com/artist/9000295-The-Silent-Treatment-3,https://rateyourmusic.com/artist/the-silent-treatment,"Emo Pop, Midwest Emo, Post Rock",7,6,With Keyboards,"April 1, 2023 7:15 AM",8f3f74860cba4a2181c87d4aaaa2a3ea
The French New Wave,US,Wisconsin,Oshkosh,,Seconds Separate the Days (https://www.notion.so/Seconds-Separate-the-Days-03370d7593154b45b8b54606ca6d8f5a?pvs=21),,1999,,https://thefrenchnewwave.bandcamp.com/,https://www.discogs.com/artist/2896228-The-French-New-Wave,https://rateyourmusic.com/artist/the_french_new_wave,"Emo-Core, Midwest Emo",6,7,,"March 27, 2023 8:03 PM",7068d3ca55d2460da15f485774bea428
Bluerskies,US,,,,,,2002,,https://refiningthedynamic.bandcamp.com/album/trial-error,-,https://rateyourmusic.com/artist/bluerskies,Midwest Emo,7,7,> Details unknown,"March 27, 2023 7:55 PM",29a2786d19ae46f9b9dec16ce0ccdfdc
Ones & Zeroes,UK/England,,,,,,2003,,,https://www.discogs.com/artist/4755367-Ones-And-Zeros-2,,"Melodic Hardcore, Midwest Emo",7,7,> Details unknown,"March 27, 2023 7:52 PM",c18cf8f3e3514153a38c35f233bacd61
H. Chinaski,US,Wisconsin,Oshkosh,,,,2000,,https://hchinaski.bandcamp.com/,,https://rateyourmusic.com/artist/h-chinaski,"Emo-Core, Post-Hardcore",6,7,,"March 27, 2023 7:49 PM",ac19b54c73eb43c0ae827b1bc701be49
Shoulder,Canada,Ontario,London,,,,1995,,,https://www.discogs.com/artist/579875-Shoulder,https://rateyourmusic.com/artist/shoulder,"Emo-Core, Midwest Emo, Post-Hardcore",7,7,VA: Emo Diaries,"March 27, 2023 7:27 PM",ef438257c9574c4ba79a15534be9648d
The English System,US,"Maryland?, New Jersey?",,,,,2001,https://web.archive.org/web/20021128192328/http://www.theenglishsystem.com/,https://songwhip.com/theenglishsystem,https://www.discogs.com/artist/4784662-The-English-System,,"Math, Midwest Emo, Post-Hardcore",7,6,Female-fronted,"March 26, 2023 11:36 PM",c2ed29ce6c164d85a93959d28b9d6820
The Gone Overseas,Switzerland,Ticino,Lugano,,,,2003,https://web.archive.org/web/20040604084305/http://www.thegoneoverseas.com/,,https://www.discogs.com/artist/2613695-The-Gone-Overseas,-,"Alternative Rock, Melodic Hardcore, Midwest Emo",7,7,Twin-vocal,"March 26, 2023 4:41 PM",fda86a7df8564d3eac86b9898518ea04
The Forms,US,New York,Brooklyn,"Triple Crown Records (https://www.notion.so/Triple-Crown-Records-351aa7f1744648cf9cb2625b87ab2cc4?pvs=21), Ernest Jenning Record Co. (https://www.notion.so/Ernest-Jenning-Record-Co-60c420ba538f4b27b494cfb47e4b3d8c?pvs=21)",,,2003,,,https://www.discogs.com/artist/776029-The-Forms,https://rateyourmusic.com/artist/the_forms,"Indie Rock, Midwest Emo",8,7,,"March 26, 2023 4:33 PM",6d1fe80028674234b610c7b48f5109f0
The Autumn View,US,Wisconsin,Milwaukee,,,,2003,https://web.archive.org/web/20040615131843/http://www.theautumnview.com/,,https://www.discogs.com/artist/5678742-The-Autumn-View,https://rateyourmusic.com/artist/the_autumn_view,"Melodic Hardcore, Midwest Emo",7,6,With Screamed voice,"March 26, 2023 1:44 PM",68306fcabf88449b9d8fa4c0f41a0e56
Late Night Desperate,US,Pennsylvania,Philadelphia,,,,2002,https://web.archive.org/web/20031007235803/http://latenightdesperate.com/,,https://www.discogs.com/artist/4195216-Late-Night-Desperate,https://rateyourmusic.com/artist/late_night_desperate,"Indie Rock, Midwest Emo",7,7,,"March 26, 2023 1:22 PM",0a92fa3bde8c4042a11effefd4347303
Fiction,US,"Catalunya, New Jersey",,,,,2000,,,-,-,"Melodic Hardcore, Midwest Emo",7,6,"One-release band, With Keyboards","March 26, 2023 1:16 PM",52f36aa69926433fadb3e6bca2468d75
Best of Winter,US,Illinois,Quincy,,,,2003,,,https://www.discogs.com/artist/2848731-Best-Of-Winter,-,"Melodic Hardcore, Midwest Emo, Pop Punk",7,6,,"March 26, 2023 1:12 PM",f5dbb7f544ab4e92b0584c8e4d0ada9b
Grander,US,Nebraska,Omaha,,,Eamon (https://www.notion.so/Eamon-88cc3063e32a4e5691e845bce85f9610?pvs=21),1995,,,https://www.discogs.com/artist/1204468-Grander,https://rateyourmusic.com/artist/grander,"Emo-Core, Post-Hardcore",6,6,VA: (Don't Forget to) Breathe,"March 26, 2023 12:22 PM",434bf4e4b14f410da60acaabfd14dcca
Chezacut,US,,,,,,1994,,,https://www.discogs.com/artist/2332219-Chezacut,,"Emo-Core, Midwest Emo, Post-Hardcore",6,5,> Details unknown,"March 26, 2023 12:19 PM",5120160c411343afa1dc8701f2adbf3d
The Busy World,US,North Carolina,Chapel Hill,,,,2006,,,-,-,Midwest Emo,8,7,,"March 26, 2023 11:34 AM",51cc7634d96645469726db001416c73a
Scream! Hello,US,New Jersey,New Brunswick,,,,2002,,,https://www.discogs.com/artist/527823-Scream!-Hello,,"Melodic Hardcore, Midwest Emo",7,7,,"March 26, 2023 11:24 AM",7e188107e8e64c69997182c206c31409
folio,Japan,Osaka,,"stiff slack (https://www.notion.so/stiff-slack-8d955672b14349379f5d9471b7621c25?pvs=21), Impulse Records (https://www.notion.so/Impulse-Records-5df6815ff5b24ccc87f02864afb89911?pvs=21)",,sora (https://www.notion.so/sora-b18b18afabd04c6bb6f108b56fc5e4bb?pvs=21),2005,https://www.folio-jp.com/,,https://www.discogs.com/artist/3252382-Folio-4,https://rateyourmusic.com/artist/folio,"Indie Rock, Midwest Emo",7,7,,"March 25, 2023 10:30 PM",0a8331bf9d214e1285e5d5fc0999c2a0
The Lovesong,China,Hong Kong,Yau Tsim Mong,,,,2005,,https://lovesong.bandcamp.com/,https://www.discogs.com/artist/4522181-The-Lovesong,https://rateyourmusic.com/artist/the-lovesong,"Emo-Core, Math, Post Rock",6,6,,"March 25, 2023 10:09 PM",bd50404631ee48d4b420cbf004695b11
阪神タイガース (aka The Tigers),Japan,Kyoto,,,,,2009,,,https://www.discogs.com/artist/7064709-The-Tigers-21,,"Melodic Hardcore, Midwest Emo",8,7,> Details unknown,"March 18, 2023 9:26 PM",bb6e45796e234c66b45ae706771e765b
Dead History,US,Minnesota,Minneapolis,,,,2021,,https://deadhistorymn.bandcamp.com/,,https://rateyourmusic.com/artist/dead-history,"Alternative Rock, Midwest Emo, Post-Hardcore",7,7,,"March 18, 2023 9:07 PM",2dbfbe39b3cf48cdbc399ea9789ff640
Between Rooms,US,New Jersey,,,,,2021,,https://betweenrooms.bandcamp.com/,-,https://rateyourmusic.com/artist/between-rooms,"Melodic Hardcore, Midwest Emo",7,6,,"March 18, 2023 9:06 PM",461cf6fd66cf491bbc6ae46d6da71b1c
Arms Like Roses,US,Connecticut,New Haven,,,,2019,,https://armslikeroses.bandcamp.com/,,https://rateyourmusic.com/artist/arms-like-roses,"Alternative Rock, Emo Pop, Math, Midwest Emo, Post-Hardcore",7,6,Female-fronted,"March 18, 2023 9:05 PM",aad95f4be58245ca9727b4ce71204bbf
Anna's Anchor,Ireland,Limerick,Limerick,,,,2014,,https://annasanchor.bandcamp.com/,https://www.discogs.com/artist/5803934-Annas-Anchor,https://rateyourmusic.com/artist/annas-anchor,"Alternative Rock, Midwest Emo, Post Rock",7,6,,"March 18, 2023 9:04 PM",391ca7f1a30e44f39095eda95d86ea76
Adieuluna,Philippines,Metropolitan Manila,Quezon City,,,,2019,,https://adieuluna.bandcamp.com/,-,https://rateyourmusic.com/artist/adieuluna,"Midwest Emo, Post Rock, Post-Hardcore, Twinkle",6,6,,"March 18, 2023 9:03 PM",9e3cd13d0e33401594c1fc3fea995b75
Tara's Witch Club,Sweden,Skåne län,Malmö,,,,2020,,https://taraswitchclub.bandcamp.com/,,https://rateyourmusic.com/artist/taras-witch-club,"Emo-Core, Post-Hardcore, Slowcore",6,5,With Screamed voice,"March 18, 2023 8:59 PM",21d523b84e2449e296c0df1d3058c594
About Leaving,Spain,Catalunya,Barcelona,,,,2016,,https://aboutleaving.bandcamp.com/,https://www.discogs.com/artist/5549556-About-Leaving,https://rateyourmusic.com/artist/about_leaving,"Alternative Rock, Indie Rock, Midwest Emo, Post-Hardcore",6,6,,"March 18, 2023 8:59 PM",3776295db789419987e18f4b20d6fe51
As in Everyday,US,New York,New York City,,,,2017,,https://asineveryday.bandcamp.com/,,https://rateyourmusic.com/artist/as-in-everyday,Midwest Emo,7,7,,"March 18, 2023 8:58 PM",9b2744f3bf8e456c9bc1557f687f7b8a
Acle,Japan,Kanagawa,Yokohama,RAFT RECORDS (https://www.notion.so/RAFT-RECORDS-c497784480fa427c97fec5fe255049fc?pvs=21),,,2019,https://acle.bandcamp.com/,https://raftrecords.bandcamp.com/album/demo,,https://rateyourmusic.com/artist/acle,"Indie Rock, Midwest Emo",7,7,Mineral-like,"March 18, 2023 8:58 PM",3264b18d75e34ebfba1a53e2ed4bc903
Memory Map (fka Holiday Band),US,Indiana,Bloomington,"Joyful Noise Recordings (https://www.notion.so/Joyful-Noise-Recordings-0e438be5e3d4453593405f741206552c?pvs=21), LIKE A FOOL Records (https://www.notion.so/LIKE-A-FOOL-Records-06615a1a137f47a2a6f6322e83bac08b?pvs=21)",,,2010,,https://memorymap.bandcamp.com/,https://www.discogs.com/artist/2477505-Memory-Map,https://rateyourmusic.com/artist/memory_map,"Indie Rock, Math, Midwest Emo",8,8,,"March 9, 2023 8:06 PM",c5ca1573427449e6b2cabd8edc1ad38f
PennyLane,US,Hawaii,Kauai,Indie Vision Music (https://www.notion.so/Indie-Vision-Music-27db3e1eb0c94cfcbb36e445c5861b69?pvs=21),,,2003,,https://indievisionmusic.bandcamp.com/album/from-paradise-to-parking-lots-2017-remaster,https://www.discogs.com/artist/2679937-Pennylane,,"Emo Pop, Midwest Emo, Pop Punk",7,5,CCM,"February 20, 2023 10:09 PM",6bd757dea0654a928cc1444e22c361d3
Rydell,UK/England,Kent,Royal Tunbridge Wells,"Scene Police Records (https://www.notion.so/Scene-Police-Records-66ab1a0d27ed4138b856448547721cbf?pvs=21), Engineer Records (fka Ignition Records) (https://www.notion.so/Engineer-Records-fka-Ignition-Records-ac53e9e455c0410cb94d261e1dac83a2?pvs=21), Cargo Records (Cargo Music/Headhunter Records) (https://www.notion.so/Cargo-Records-Cargo-Music-Headhunter-Records-83a7b0ea6ed44a7ab4155457bb49f88b?pvs=21)",,"Sunfactor (https://www.notion.so/Sunfactor-030be5371c51404294f36585dd493482?pvs=21), Pale (https://www.notion.so/Pale-307a8c54af6b4704bf21f1272e59d63a?pvs=21), Hunter Gatherer (https://www.notion.so/Hunter-Gatherer-921303ae32f44ac4b9cde384ef4fc486?pvs=21), A Rocket Sent to You (https://www.notion.so/A-Rocket-Sent-to-You-9fd33cdc403d4e05abb26d6c02eb6fb7?pvs=21), San Geronimo (https://www.notion.so/San-Geronimo-99562f17880b421aa39cf349b5046250?pvs=21), Babies Three (https://www.notion.so/Babies-Three-458e0e9f57634e31af73ef8db245b05d?pvs=21)",1999,,,https://www.discogs.com/artist/725538-Rydell,https://rateyourmusic.com/artist/rydell,"Emo-Core, Post-Hardcore",4,4,VA: Firework Anatomy,"February 20, 2023 10:04 PM",1707f5da3a0e4d3791db1e91b97b15da
Inside Right,UK/England,Staffordshire,Leek,,,Sunfactor (https://www.notion.so/Sunfactor-030be5371c51404294f36585dd493482?pvs=21),1999,,,https://www.discogs.com/artist/1442016-Inside-Right,https://rateyourmusic.com/artist/inside-right,"Alternative Rock, Midwest Emo",7,8,"> Details unknown, Twin-vocal","February 20, 2023 10:03 PM",c0950a98b3b64284aed2a8d2111643ab
Sunfactor,UK/England,London,London,"Scene Police Records (https://www.notion.so/Scene-Police-Records-66ab1a0d27ed4138b856448547721cbf?pvs=21), Firefly Recordings (https://www.notion.so/Firefly-Recordings-e102d87b76824553ad1d2b6680cc7761?pvs=21)",,"Rydell (https://www.notion.so/Rydell-1707f5da3a0e4d3791db1e91b97b15da?pvs=21), Babies Three (https://www.notion.so/Babies-Three-458e0e9f57634e31af73ef8db245b05d?pvs=21), Carver (https://www.notion.so/Carver-dbc97635d9464b5786bfe3d18455c649?pvs=21), Pop Unknown (https://www.notion.so/Pop-Unknown-97542e25be354ce6b4c0d465d8939626?pvs=21), Inside Right (https://www.notion.so/Inside-Right-c0950a98b3b64284aed2a8d2111643ab?pvs=21)",2000,,,https://www.discogs.com/artist/618728-Sunfactor-2,https://rateyourmusic.com/artist/sunfactor,"Midwest Emo, Post-Hardcore",7,7,VA: Emo Diaries,"February 20, 2023 10:00 PM",030be5371c51404294f36585dd493482
Stairwell,US,California,Huntington Beach,,,,1998,,,https://www.discogs.com/artist/1250512-Stairwell,https://rateyourmusic.com/artist/stairwell,"Emo Pop, Indie Rock, Melodic Hardcore, Midwest Emo",7,7,"With Keyboards, With Strings","February 20, 2023 9:56 PM",9f84f13f46144f10ab7eebe83f3d7c11
One Man and His Droid,Germany,Lower Saxony,Rhauderfehn,,,,1999,,,https://www.discogs.com/artist/154623-One-Man-And-His-Droid,https://rateyourmusic.com/artist/one_man_and_his_droid,"Alternative Rock, Melodic Hardcore, Midwest Emo",7,5,Twin-vocal,"February 20, 2023 9:52 PM",a13d974282104bb4872eeaa7466945b7
Moneen,Canada,Ontario,Brampton,,,,2001,,,https://www.discogs.com/artist/562860-Moneen,https://rateyourmusic.com/artist/moneen,Midwest Emo,7,7,Twin-vocal,"February 20, 2023 9:44 PM",9147298e4484406a9c972305b062d65f
Noise Ratchet,US,California,San Diego,,,,2000,,,,https://rateyourmusic.com/artist/noise_ratchet,"Emo Pop, Indie Rock",7,5,,"February 20, 2023 9:40 PM",8880de130e5748e7b72bedc355660b12
Cape Canaveral,UK/England,Nottinghamshire,Nottingham,,,,2000,,https://capecanaveraluk.bandcamp.com/,https://www.discogs.com/artist/180132-Cape-Canaveral-3,-,Midwest Emo,7,7,,"February 20, 2023 9:28 PM",279b1ceedcaf49308effbc4818130ede
Races to April,US,Virginia,Harrisonburg,,,,2004,https://web.archive.org/web/20050213035642/http://www.racestoapril.com/racestoapril[2].htm,,https://www.discogs.com/artist/2915571-Races-To-April,,"Emo Pop, Indie Rock, Midwest Emo",7,6,,"February 20, 2023 1:05 PM",c6d80201b4604306a6772f6154de6718
Colossal,US,Illinois,Elgin,,,,2004,,,,https://rateyourmusic.com/artist/colossal,"Indie Rock, Math",7,7,,"February 20, 2023 1:03 PM",097117b2e35841f0889ce78be1a7dd98
This World is Mine,Japan,Tokyo,Hachioji,Snuffy Smile (https://www.notion.so/Snuffy-Smile-4ea000cbb6244471ac8145e674ea4ba2?pvs=21),,The Miles Apart (https://www.notion.so/The-Miles-Apart-c2d767372ad84de282714dbbb5472a0b?pvs=21),1999,,,,https://rateyourmusic.com/artist/this-world-is-mine,"Melodic Hardcore, Midwest Emo",7,7,,"February 20, 2023 12:57 PM",ca6a1aac3494456392132ed709b7a1d5
Kidcrash,US,"New Mexico, Washington",Olympia→Santa Fe,,,,2002,,https://initrecords.bandcamp.com/album/jokes,https://www.discogs.com/artist/1214021-Kidcrash,https://rateyourmusic.com/artist/kidcrash,"Math, Midwest Emo",7,7,,"February 20, 2023 12:55 PM",d99df32c032e49508bbb3f6084cdec68
Number One Fan,US,Wisconsin,Appleton,,,,2004,,,,https://rateyourmusic.com/artist/number_one_fan,"Emo Pop, Indie Rock, Midwest Emo",7,7,,"February 18, 2023 10:44 PM",96af5235cb144d658920f98504da7348
Number One Gun,US,California,Chico,,,,2003,,,,https://rateyourmusic.com/artist/number_one_gun,"Emo Pop, Midwest Emo",7,7,CCM,"February 18, 2023 10:43 PM",eeed289276a0476d9cb685b3d4fa5585
Landmine Spring,Czech Republic,South Bohemian,Strakonice,"Day After Records (https://www.notion.so/Day-After-Records-8c2b9bd68a824103b82638041982a2f8?pvs=21), Millipede Records (https://www.notion.so/Millipede-Records-9971fccdb37e4ae8ae2e42b9f005c5ac?pvs=21), Engineer Records (fka Ignition Records) (https://www.notion.so/Engineer-Records-fka-Ignition-Records-ac53e9e455c0410cb94d261e1dac83a2?pvs=21)",,,1998,,,https://www.discogs.com/artist/846591-Landmine-Spring,https://rateyourmusic.com/artist/landmine_spring_f1,"Melodic Hardcore, Midwest Emo, Post-Hardcore",7,7,,"February 18, 2023 10:28 PM",7ee992a6f9eb4dfeaaed0531b5d6c565
Kill Creek,US,Kansas,Lawrence,Second Nature Recordings (https://www.notion.so/Second-Nature-Recordings-f698611b0d094a36bf5e4c158f4e85d4?pvs=21),,,1992,http://www.killcreek.com/homey.html,,https://www.discogs.com/artist/313810-Kill-Creek,https://rateyourmusic.com/artist/kill_creek,"Alternative Rock, Midwest Emo, Post-Hardcore",7,7,,"February 18, 2023 10:02 PM",44da8d257eb64d6d9b0898f8f2c6d005
Element 101,US,New Jersey,,,,,1998,,,,https://rateyourmusic.com/artist/element_101,"Alternative Rock, Midwest Emo, Pop Punk",7,6,"CCM, Female-fronted","February 18, 2023 9:33 PM",54347606673f4e0ba0bf34967f5ab013
DON GIGLIO,Japan,Tokyo,,,,,2019,,https://dongiglio.bandcamp.com/,-,-,"Math, Midwest Emo, Post-Hardcore",6,7,Braid-like,"February 14, 2023 10:41 PM",a196697eb2824d48995e698d54877cd3
Tree River,US,New York,Brooklyn,,,,2014,,,https://www.discogs.com/artist/11016020-Tree-River-2,https://rateyourmusic.com/artist/tree-river,"Indie Rock, Midwest Emo",7,7,,"February 12, 2023 8:45 PM",a283f84cdbd445b99a41d57e9bfa126a
Avec Plaisir,Canada,Québec,Montreal,,,,2019,,https://avecplaisir.bandcamp.com/,https://www.discogs.com/artist/9754288-Avec-Plaisir-3,,"Indie Rock, Midwest Emo, Twinkle",7,7,,"February 12, 2023 8:42 PM",f311ab7996d14567bb6eafc1aa210db6
Sweet Pill,US,Pennsylvania,Philadelphia,Topshelf Records (https://www.notion.so/Topshelf-Records-e03376612283478ca2e1829f5b118061?pvs=21),,,2019,,https://sw33tpill.bandcamp.com/,https://www.discogs.com/artist/8074094-Sweet-Pill,,"Indie Rock, Math, Midwest Emo",7,7,,"February 12, 2023 8:38 PM",90bca321a3b54fb9a0df9396e1a7d54d
Toy Boats,Australia,New South Wales,Byron Bay,,,,2012,,,https://www.discogs.com/artist/3899714-Toy-Boats,,"Indie Folk, Indie Rock, Midwest Emo",7,7,,"February 12, 2023 8:34 PM",e640c0ba5c254951aa8c727e98c7b87f
Reeves,Japan,Miyagi,Sendai,,,,2017,,https://www.tunecore.co.jp/artists/Reeves,,,"Indie Rock, Midwest Emo",7,6,,"February 12, 2023 6:59 PM",b82544e0ff2b4eafb53c8895d6db58c1
